Fund,Object,Part I,Part XIII line 1,"Part XIII line 2, 3",Part XIII line 4,Part IX
24307,41924,,,,,
24307,41980,C20,,,AR2,
24307,44500,C20,,,AR2,
24307,44504,C20,,,AR2,
24308,11112,,,,,
24308,41500,U22,,AR1A,,
24308,41510,U22,,,,
24308,41924,,,,,
24308,41980,C20,,AR1A,,
24308,44500,C20,,AR1A,,
24308,44504,C20,,AR1A,,
24309,41924,,,,,
24309,41980,C20,,AR1A,,
24309,44500,C20,,AR1A,,
24309,44504,C20,,AR1A,,
24310,41980,C20,,AR1A,,
24310,44500,C20,,AR1A,,
24310,44504,C20,,AR1A,,
24312,41924,,,,,
24312,44500,C20,,AR1A,,
24312,44504,C20,,AR1A,,
24316,11112,,,,,
24316,41924,,,,,
24316,41980,C20,,AR1A,,
24316,44500,C20,,AR1A,,
24316,44504,C20,,AR1A,,
24330,11112,,,,,
24330,41924,,,,,
24330,41980,C20,,AR1A,,
24330,44500,C20,,AR1A,,
24330,44504,C20,,AR1A,,
24332,41980,C20,,,,
24332,44500,C20,,AR1B,,
24332,44504,C20,,,,
24333,41924,,,,,
24333,41980,C20,,AR1B,,
24333,43202,B13,,,,
24333,44500,C20,,AR1B,,
24333,44504,C20,,AR1B,,
24339,41980,C20,,AR1B,,
24339,44500,C20,,AR1B,,
24339,44504,C20,,AR1B,,
24341,41924,,,,,
24341,41980,C20,,AR1B,,
24341,44500,C20,,AR1B,,
24341,44504,C20,,,,
24342,41924,,,,,
24342,41980,C20,,AR1B,,
24342,44500,C20,,AR1B,,
24344,44500,C20,,AR1B,,
24346,11112,,,,,
24346,41924,,,,,
24346,41980,C20,,,,
24346,44500,C20,,AR1B,,
24346,44504,C20,,AR1B,,
24349,41980,C20,,,,
24349,44500,C20,,AR1B,,
24349,44504,C20,,AR1B,,
24350,11112,,,,,
24350,41980,C20,,AR1B,,
24350,44500,C20,,AR1A,,
24350,44504,C20,,AR1A,,
24355,11112,,,,,
24355,41980,C20,,AR1B,,
24355,44500,C20,,AR1B,,
24355,44504,C20,,AR1B,,
25112,44301,B13,,,,
25115,44301,B10,,,,
25122,44301,B13,,,,
25127,41980,B13,,,,
25127,44301,B13,,,,
25127,45304,C20,,,,
25129,41980,B13,,,,
25129,44301,B13,,,,
25131,41980,B13,,,,
